Year,Team,G,W,D,L,30_Winrate,R/G,R,HR,SB,BB%,K%,BABIP,AVG,OBP,SLG,OPS,wOBA,Final_Winrate
2012,SK,30,17,1,12,0.586,4.43,133,29,21,9,18.5,0.286,0.249,0.325,0.389,0.714,0.321,0.546
2012,두산,30,16,1,13,0.552,4.57,137,11,29,7.4,11.4,0.304,0.276,0.339,0.369,0.708,0.324,0.523
2012,넥센,30,15,1,14,0.517,4.97,149,30,34,9.8,16,0.276,0.249,0.335,0.401,0.736,0.33,0.469
2012,롯데,30,14,2,14,0.5,4.3,129,15,30,6.7,18.5,0.335,0.277,0.334,0.375,0.709,0.321,0.512
2012,LG,30,15,0,15,0.5,4.77,143,21,48,9.5,17.7,0.302,0.258,0.336,0.382,0.718,0.326,0.442
2012,삼성,30,14,1,15,0.483,4.37,131,17,41,10.3,14.2,0.287,0.254,0.342,0.363,0.705,0.324,0.611
2012,KIA,30,12,2,16,0.429,4.13,124,10,40,11.5,16.2,0.292,0.246,0.339,0.342,0.681,0.316,0.488
2012,한화,30,11,0,19,0.367,4.57,137,15,20,10.8,14.5,0.32,0.278,0.365,0.387,0.752,0.345,0.408
2013,넥센,30,20,0,10,0.667,4.97,149,30,32,9.4,17.8,0.311,0.27,0.352,0.418,0.77,0.347,0.571
2013,롯데,30,14,1,15,0.483,3.77,113,6,47,10.1,17.3,0.294,0.242,0.33,0.325,0.655,0.304,0.532
2013,한화,30,8,1,21,0.276,3.37,101,7,17,8.7,19.4,0.311,0.249,0.327,0.327,0.654,0.305,0.331
2013,KIA,30,17,1,12,0.586,5.6,168,18,44,11.9,17.4,0.329,0.276,0.377,0.386,0.763,0.352,0.408
2013,두산,30,18,1,11,0.621,5.77,173,21,54,13.4,13.4,0.312,0.279,0.389,0.399,0.788,0.361,0.568
2013,LG,30,14,0,16,0.467,4.47,134,9,43,9.6,16.5,0.328,0.274,0.351,0.351,0.702,0.325,0.578
2013,삼성,30,20,0,10,0.667,5.63,169,20,32,9.6,16.3,0.341,0.293,0.37,0.413,0.783,0.356,0.595
2013,NC,30,8,1,21,0.276,4.13,124,17,38,8.2,18.3,0.303,0.254,0.322,0.373,0.695,0.315,0.419
2013,SK,30,14,1,15,0.483,4.5,135,24,32,9,18.7,0.301,0.255,0.339,0.376,0.715,0.325,0.496
