,순,이름,팀,정렬,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,연도,연봉
0,1,홍창기,21LCF,6.98,144,651,524,103,172,26,2,4,214,52,23,8,110,15,4,95,6,0,2.0,21.0,32000만원
1,2,이정후,21키CF,6.73,123,543,463,78,167,42,6,7,242,84,10,3,62,9,1,37,8,0,9.0,21.0,75000만원
2,3,강백호,21K1B,6.35,142,627,516,76,179,40,1,16,269,102,10,5,103,0,10,85,7,0,8.0,21.0,55000만원
3,4,최정,21S3B,6.14,134,555,436,92,121,17,1,35,245,100,8,6,84,22,3,102,9,1,12.0,21.0,
4,5,양의지,21NDH,5.74,141,570,480,81,156,29,2,30,279,111,2,1,69,11,5,60,12,0,10.0,21.0,100000만원
5,6,구자욱,21삼RF,5.01,139,610,543,107,166,30,10,22,282,88,27,4,48,6,3,98,9,1,12.0,21.0,250000만원
6,7,전준우,21롯LF,4.93,144,619,552,88,192,46,0,7,259,92,6,3,53,5,0,71,10,1,8.0,21.0,50000만원
7,8,알테어,21NCF,4.91,143,565,492,83,134,19,2,32,253,84,20,5,57,11,2,156,6,0,5.0,21.0,
8,9,김재환,21두LF,4.77,137,566,475,86,130,23,2,27,238,102,2,3,81,5,3,127,9,0,5.0,21.0,150000만원
9,10,김혜성,21키SS,4.73,144,634,559,99,170,20,3,3,205,66,46,4,64,1,3,97,8,0,10.0,21.0,32000만원
10,11,박건우,21두RF,4.62,126,525,458,82,149,31,2,6,202,63,13,0,50,11,2,72,16,0,6.0,21.0,190000만원
11,12,정은원,21한2B,4.46,139,608,495,85,140,22,5,6,190,39,19,11,105,1,1,105,9,4,3.0,21.0,19080만원
12,13,나성범,21NRF,3.91,144,623,570,96,160,29,1,33,290,101,1,2,38,11,2,155,5,0,4.0,21.0,200000만원
13,14,한유섬,21SRF,3.9,135,519,442,71,123,18,1,31,236,95,1,0,60,10,4,96,11,1,6.0,21.0,240000만원
14,15,추신수,21SDH,3.89,137,580,461,84,122,19,2,21,208,69,25,9,103,12,4,123,8,0,4.0,21.0,270000만원
15,16,강민호,21삼C,3.86,123,462,406,55,118,22,0,18,194,67,0,0,45,4,4,53,18,0,7.0,21.0,60000만원
16,17,노시환,21한3B,3.75,107,458,380,56,103,18,1,18,177,84,5,2,73,1,9,107,15,0,4.0,21.0,12000만원
17,18,최재훈,21한C,3.67,116,467,375,52,103,21,0,7,145,44,3,2,71,13,2,68,16,5,3.0,21.0,100000만원
18,19,안치홍,21롯2B,3.45,119,490,421,58,129,30,2,10,193,82,3,6,52,3,2,58,10,5,9.0,21.0,100000만원
19,20,김선빈,21K2B,3.42,130,564,501,55,154,32,0,5,201,67,0,0,56,1,2,39,19,1,5.0,21.0,45000만원
20,21,박해민,21삼CF,3.38,127,542,454,78,132,22,1,5,171,54,36,15,69,3,2,82,3,9,7.0,21.0,60000만원
21,22,박성한,21SSS,3.34,135,471,407,53,123,21,1,4,158,44,12,5,49,1,0,73,1,12,2.0,21.0,14000만원
22,23,손아섭,21롯RF,3.33,139,610,542,88,173,29,2,3,215,58,11,6,61,3,3,67,15,3,1.0,21.0,150000만원
23,24,김현수,21LLF,3.31,140,595,506,70,144,23,1,17,220,97,3,0,77,3,5,42,7,0,9.0,21.0,4000만원
24,25,한동희,21롯3B,3.28,129,496,424,54,113,24,0,17,188,69,0,1,61,6,1,95,21,1,4.0,21.0,17200만원
25,26,피렐라,21삼DH,3.26,140,621,553,102,158,25,2,29,274,97,9,6,57,8,2,89,8,0,3.0,21.0,600000달러
26,27,최원준,21KRF,3.14,143,668,589,82,174,21,6,4,219,44,40,13,61,11,0,68,7,4,3.0,21.0,
27,28,양석환,21두1B,3.1,133,546,488,66,133,22,0,28,239,96,2,3,42,9,2,136,10,0,7.0,21.0,39000만원
28,29,이용규,21키LF,3.1,133,547,459,88,136,16,8,1,171,43,16,2,71,5,2,46,5,6,6.0,21.0,40000만원
29,30,하주석,21한SS,3.09,138,594,525,84,143,27,3,10,206,68,23,6,51,10,1,135,9,5,3.0,21.0,20090만원
30,31,박동원,21키C,3.09,131,481,413,61,103,21,0,22,190,83,2,0,53,7,0,114,12,5,3.0,21.0,31000만원
31,32,페르난데스,21두DH,3.07,141,617,540,73,170,24,0,15,239,81,0,2,65,6,3,35,25,0,6.0,21.0,
32,33,배정대,21KCF,3.02,144,595,510,85,132,23,1,12,193,68,19,7,65,12,2,132,9,3,5.0,21.0,26000만원
33,34,황재균,21K3B,2.93,117,507,453,74,132,16,2,10,182,56,11,4,46,3,1,92,11,1,4.0,21.0,40000만원
34,35,노진혁,21NSS,2.9,107,384,330,41,95,22,0,8,141,58,1,1,42,5,0,90,3,4,3.0,21.0,23000만원
35,36,채은성,21LRF,2.86,110,448,387,59,107,20,0,16,175,82,4,2,38,16,2,80,9,0,7.0,21.0,28000만원
36,37,서건창,21키L2B,2.83,144,599,512,78,130,24,2,6,176,52,12,4,69,9,2,77,14,5,4.0,21.0,26000만원
