,순,이름,팀,정렬,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,연도,연봉
0,1,미란다,21두,7.09,28,1,1,28,14,5,0,0.0,173.2,49,45,709,135,21.0,1600000달러
1,2,백정현,21삼,5.28,27,0,0,27,14,5,0,0.0,157.2,54,46,648,142,21.0,80000만원
2,3,고영표,21K,5.23,26,1,1,25,11,6,0,1.0,166.2,59,54,664,147,21.0,30000만원
3,4,켈리,21L,4.96,30,0,0,30,13,8,0,0.0,177.0,64,62,744,160,21.0,900000달러
4,5,원태인,21삼,4.76,26,0,0,26,14,7,0,0.0,158.2,59,54,655,147,21.0,30000만원
5,6,요키시,21키,4.66,31,0,0,31,16,9,0,0.0,181.1,71,59,739,171,21.0,900000달러
6,7,뷰캐넌,21삼,4.55,30,1,1,30,16,5,0,0.0,177.0,71,61,758,173,21.0,1100000달러
7,8,루친스키,21N,4.48,30,0,0,30,15,10,0,0.0,178.2,76,63,754,160,21.0,1600000달러
8,9,수아레즈,21L,4.43,23,0,0,22,10,2,0,0.0,115.1,33,28,473,91,21.0,700000달러
9,10,최원준,21두,4.13,29,0,0,29,12,4,0,0.0,158.1,65,58,673,160,21.0,34000만원
10,11,로켓,21두,4.1,21,1,0,21,9,9,0,0.0,124.0,44,41,540,132,21.0,
11,12,데스파이네,21K,4.01,33,0,0,33,13,10,0,0.0,188.2,81,71,819,175,21.0,700000달러
12,13,박세웅,21롯,4.01,28,1,1,28,10,9,0,0.0,163.0,75,72,685,141,21.0,
13,14,정해영,21K,3.79,64,0,0,0,5,4,34,0.0,65.1,18,16,272,49,21.0,17000만원
14,15,킹엄,21한,3.72,25,0,0,25,10,8,0,0.0,144.0,58,51,591,117,21.0,
15,16,파슨스,21N,3.71,24,1,0,24,4,8,0,0.0,133.0,56,55,577,109,21.0,440000달러
16,17,정우영,21L,3.21,70,0,0,0,7,3,2,27.0,65.0,16,16,263,43,21.0,28000만원
17,18,고우석,21L,3.13,63,0,0,0,1,5,30,0.0,58.0,15,14,240,47,21.0,
18,19,강재민,21한,3.12,58,0,0,0,2,1,5,13.0,63.1,16,15,269,51,21.0,15000만원
19,20,멩덴,21K,3.09,21,0,0,21,8,3,0,0.0,120.0,53,48,502,109,21.0,
20,21,김재윤,21K,3.08,65,0,0,0,4,3,32,0.0,67.0,19,18,275,57,21.0,28000만원
21,22,오승환,21삼,3.03,64,0,0,0,0,2,44,0.0,62.0,17,14,252,56,21.0,160000만원
22,23,스트레일리,21롯,3.02,31,0,0,31,10,12,0,0.0,165.2,85,75,714,162,21.0,
23,24,폰트,21S,2.94,26,0,0,26,8,5,0,0.0,145.2,66,56,604,114,21.0,1100000달러
24,25,김민우,21한,2.93,29,0,0,28,14,10,0,0.0,155.1,71,69,662,131,21.0,
25,26,장현식,21K,2.93,69,0,0,0,1,5,1,34.0,76.2,28,28,336,67,21.0,20000만원
26,27,홍건희,21두,2.92,65,0,0,0,6,6,3,17.0,74.1,23,23,303,65,21.0,25000만원
27,28,김택형,21S,2.83,59,0,0,0,5,1,7,4.0,75.1,23,20,316,61,21.0,12500만원
28,29,신민혁,21N,2.65,30,0,0,25,9,6,0,0.0,145.0,75,71,625,155,21.0,12000만원
29,30,배제성,21K,2.55,26,0,0,26,9,10,0,0.0,141.2,67,58,621,126,21.0,27000만원
30,31,김강률,21두,2.49,50,0,0,0,3,0,21,3.0,51.2,15,12,230,54,21.0,22500만원
31,32,안우진,21키,2.45,21,0,0,21,7,8,0,0.0,107.2,47,39,450,88,21.0,15000만원
32,33,이의리,21K,2.35,19,0,0,19,4,5,0,0.0,94.2,42,38,404,69,21.0,9000만원
33,34,김원중,21롯,2.26,61,0,0,0,4,4,35,0.0,62.2,26,25,268,50,21.0,28000만원
34,35,김대유,21L,2.09,64,0,0,0,4,1,0,24.0,50.2,13,12,209,32,21.0,12500만원
35,36,브룩스,21K,2.06,13,0,0,13,3,5,0,0.0,78.0,34,29,333,93,21.0,
36,37,카펜터,21한,2.01,31,0,0,30,5,12,0,0.0,170.0,90,75,746,150,21.0,350000달러
37,38,임기영,21K,1.98,28,0,0,28,8,8,0,0.0,153.0,85,83,662,155,21.0,14000만원
38,39,최준용,21롯,1.94,44,0,0,0,4,2,1,20.0,47.1,16,15,195,41,21.0,10700만원
39,40,쿠에바스,21K,1.94,23,1,1,23,9,4,0,0.0,133.1,68,61,580,131,21.0,800000달러
40,41,이정용,21L,1.88,66,0,0,0,3,3,0,15.0,69.2,25,23,284,55,21.0,14000만원
41,42,이용찬,21N,1.71,39,0,0,0,1,3,16,3.0,37.0,11,9,151,27,21.0,40000만원
42,43,서진용,21S,1.7,65,0,0,0,7,5,9,3.0,67.1,28,25,297,57,21.0,18500만원
43,44,정찬헌,21L키,1.67,23,1,1,23,9,5,0,0.0,114.1,55,51,497,133,21.0,28000만원
44,45,김태훈,21키,1.66,66,0,0,0,4,2,11,15.0,64.1,26,23,282,60,21.0,
45,46,박종훈,21S,1.61,9,0,0,9,4,2,0,0.0,54.1,19,17,222,40,21.0,180000만원
46,47,최채흥,21삼,1.55,26,1,0,20,5,9,0,2.0,122.1,66,62,538,143,21.0,
47,48,윤대경,21한,1.5,43,0,0,9,2,5,0,7.0,77.2,35,34,337,73,21.0,9730만원
48,49,브리검,21키,1.44,10,0,0,10,7,3,0,0.0,61.0,25,20,250,49,21.0,
49,50,한현희,21키,1.38,18,0,0,15,6,2,0,1.0,85.2,42,37,372,86,21.0,25000만원
50,51,주권,21K,1.38,62,0,0,0,3,4,0,27.0,49.0,19,18,208,48,21.0,29500만원
51,52,임찬규,21L,1.38,17,0,0,17,1,8,0,0.0,90.2,45,39,387,76,21.0,20000만원
52,53,이민호,21L,1.35,25,0,0,22,8,9,0,0.0,115.0,58,55,477,89,21.0,9800만원
53,54,곽빈,21두,1.34,21,0,0,21,4,7,0,0.0,98.2,50,45,455,78,21.0,6500만원
54,55,문승원,21S,1.33,9,0,0,9,2,2,0,0.0,50.1,20,16,212,42,21.0,160000만원
55,56,이인복,21롯,1.31,25,0,0,8,3,0,0,1.0,61.1,31,28,271,75,21.0,8500만원
56,57,구승민,21롯,1.27,68,0,0,0,6,5,0,20.0,62.1,30,30,262,47,21.0,18100만원
57,58,윤중현,21K,1.25,30,0,0,13,5,6,0,2.0,82.2,44,36,373,91,21.0,6500만원
58,59,박시영,21K,1.23,48,0,0,0,3,3,0,12.0,45.0,16,12,180,30,21.0,12000만원
59,60,조상우,21키,1.19,44,0,0,0,6,5,15,5.0,44.0,18,17,187,30,21.0,34000만원
60,61,김민수,21K,1.18,56,0,0,1,4,2,0,11.0,58.0,25,19,253,56,21.0,11500만원
61,62,심재민,21K,1.17,28,0,0,2,0,1,0,1.0,46.2,15,15,189,41,21.0,8200만원
62,63,류진욱,21N,1.15,44,0,0,0,1,0,1,7.0,43.1,15,10,190,40,21.0,7500만원
63,64,장지훈,21S,1.11,60,0,0,0,2,5,1,10.0,80.1,40,35,342,84,21.0,10500만원
64,65,주현상,21한,1.04,43,0,0,0,2,2,0,4.0,50.1,21,20,218,46,21.0,5080만원
65,66,소형준,21K,1.02,24,0,0,24,7,7,0,0.0,119.0,67,55,521,123,21.0,20000만원
66,67,우규민,21삼,1.02,60,0,0,0,3,3,2,24.0,49.0,22,18,213,58,21.0,20000만원
67,68,이현승,21두,0.97,38,0,0,0,5,1,0,7.0,23.1,6,5,90,16,21.0,10000만원
68,69,홍성민,21N,0.95,53,0,0,0,3,4,0,14.0,41.1,19,18,185,53,21.0,12500만원
69,70,김성민,21키,0.95,47,0,0,0,2,3,1,11.0,46.2,21,17,218,43,21.0,
70,71,김재웅,21키,0.95,51,0,0,0,0,1,1,11.0,53.1,24,21,243,49,21.0,10400만원
71,72,엄상백,21K,0.94,10,0,0,9,4,1,0,0.0,52.2,24,24,228,41,21.0,8000만원
72,73,최성훈,21L,0.92,46,0,0,0,1,1,0,3.0,40.2,14,11,179,40,21.0,10500만원
73,74,원종현,21N,0.91,61,0,0,0,2,2,14,6.0,53.0,27,25,245,67,21.0,27000만원
74,75,진해수,21L,0.89,50,0,0,0,1,0,0,5.0,44.1,17,12,188,41,21.0,30000만원
75,76,조현우,21K,0.88,49,0,0,0,0,0,0,6.0,31.0,10,9,126,26,21.0,9500만원
76,77,박민호,21S,0.82,40,0,0,0,4,0,0,5.0,41.0,18,18,177,45,21.0,12000만원
77,78,프랑코,21롯,0.76,37,0,0,27,9,8,0,1.0,150.0,97,90,677,147,21.0,
78,79,이승진,21두,0.73,47,0,0,0,1,4,2,13.0,48.1,24,21,210,41,21.0,11000만원
79,80,이창재,21K,0.68,32,0,0,0,2,0,0,0.0,26.2,8,8,108,22,21.0,6700만원
80,81,라이블리,21삼,0.66,7,0,0,7,0,1,0,0.0,33.1,16,15,140,23,21.0,
81,82,임준형,21L,0.65,6,0,0,4,1,0,0,0.0,23.0,8,8,94,24,21.0,4000만원
82,83,백승현,21L,0.61,16,0,0,0,0,0,0,1.0,16.2,4,4,66,13,21.0,5000만원
83,84,권휘,21두,0.59,24,0,0,0,0,0,0,1.0,20.1,6,6,92,16,21.0,3700만원
84,85,김명신,21두,0.57,58,0,0,1,3,2,0,2.0,67.0,37,32,289,72,21.0,10000만원
85,86,이대은,21K,0.54,31,0,0,0,3,2,1,9.0,31.0,15,12,128,27,21.0,
86,87,최원태,21키,0.54,28,0,0,28,9,11,0,0.0,143.1,89,73,643,163,21.0,31000만원
87,88,김윤식,21L,0.53,35,0,0,3,7,4,0,1.0,66.2,37,32,301,65,21.0,7000만원
88,89,이재학,21N,0.53,17,2,1,17,6,6,0,0.0,83.0,50,48,370,74,21.0,18000만원
89,90,안영명,21K,0.51,35,0,0,0,0,1,0,4.0,35.1,17,16,145,24,21.0,8500만원
90,91,홍상삼,21K,0.51,49,0,0,0,4,1,0,12.0,36.0,19,19,160,33,21.0,10000만원
91,92,윤정현,21키,0.44,10,0,0,0,0,0,0,1.0,12.1,2,2,53,11,21.0,4100만원
92,93,송은범,21L,0.43,35,0,0,0,2,2,0,4.0,37.1,18,17,155,34,21.0,15000만원
93,94,장민기,21K,0.43,21,0,0,0,2,1,0,2.0,23.1,11,9,114,13,21.0,3500만원
94,95,최금강,21N,0.41,20,0,0,0,2,1,1,0.0,28.0,14,14,129,29,21.0,
95,96,임창민,21N,0.39,46,0,0,0,0,3,0,17.0,40.1,23,17,178,35,21.0,12000만원
96,97,김재열,21K,0.39,24,0,0,0,1,0,0,0.0,32.2,18,14,152,28,21.0,3900만원
97,98,다카하시,21K,0.37,7,0,0,7,1,3,0,0.0,36.2,22,20,168,46,21.0,
98,99,박진우,21N,0.36,9,0,0,0,0,0,0,1.0,11.0,2,2,44,6,21.0,
99,100,최지광,21삼,0.35,60,0,0,0,7,1,0,14.0,51.1,30,28,231,53,21.0,
100,101,김진영,21한,0.35,20,0,0,0,0,1,0,1.0,18.1,8,8,81,16,21.0,
101,102,박치국,21두,0.34,23,0,0,0,2,1,0,8.0,22.0,11,10,95,21,21.0,14500만원
102,103,김기중,21한,0.33,15,0,0,12,2,4,0,0.0,53.2,32,28,260,63,21.0,3900만원
103,104,르위키,21S,0.32,4,0,0,4,1,0,0,0.0,14.1,6,6,56,15,21.0,
104,105,김영규,21N,0.32,37,0,0,8,5,3,0,6.0,63.2,40,38,286,69,21.0,9500만원
105,106,김상수,21S,0.32,50,0,0,0,4,3,6,5.0,58.1,33,33,273,71,21.0,25000만원
106,107,장민재,21한,0.32,12,0,0,6,0,2,0,0.0,29.1,17,9,128,34,21.0,7600만원
107,108,문용익,21삼,0.31,22,0,0,0,2,0,0,2.0,22.0,11,11,98,21,21.0,4500만원
108,109,홍정우,21삼,0.31,15,0,0,0,2,0,0,0.0,15.2,6,6,64,14,21.0,5300만원
109,110,배재준,21L,0.3,15,0,0,6,2,2,0,0.0,32.2,17,15,151,42,21.0,5000만원
110,111,배민서,21N,0.3,32,0,0,2,1,0,0,0.0,40.0,26,22,187,51,21.0,
111,112,하재훈,21S,0.3,18,0,0,0,1,0,0,2.0,18.0,8,8,88,16,21.0,5300만원
112,113,전상현,21K,0.29,15,0,0,0,1,0,0,7.0,13.0,6,5,59,15,21.0,11000만원
113,114,이상영,21L,0.29,21,0,0,9,1,1,0,0.0,50.0,28,24,228,48,21.0,
114,115,임정호,21N,0.27,60,0,0,0,0,4,0,12.0,34.2,20,16,165,37,21.0,10500만원
115,116,윤호솔,21한,0.27,55,0,0,0,3,0,0,8.0,48.2,29,25,214,41,21.0,6350만원
116,117,장지수,21K,0.26,9,0,0,0,0,0,0,0.0,14.1,6,5,67,9,21.0,3200만원
117,118,진명호,21롯,0.25,33,0,0,0,2,2,0,3.0,24.1,14,13,107,20,21.0,6500만원
118,119,김준형,21키,0.25,14,0,0,0,0,0,0,0.0,14.1,6,5,67,15,21.0,4200만원
119,120,김동혁,21키,0.24,40,0,0,8,0,5,1,0.0,82.0,51,47,367,89,21.0,6000만원
120,121,송윤준,21한,0.24,17,0,0,0,0,0,0,2.0,12.2,5,5,55,12,21.0,4100만원
121,122,채지선,21L,0.24,14,0,0,0,0,0,0,0.0,17.1,8,6,87,15,21.0,4000만원
122,123,서동민,21S,0.23,20,0,0,0,0,0,0,0.0,26.1,15,15,118,27,21.0,4000만원
123,124,배동현,21한,0.23,20,0,0,4,1,3,0,0.0,38.0,21,19,177,34,21.0,
124,125,김인범,21키,0.22,3,0,0,0,0,0,0,0.0,5.1,0,0,20,3,21.0,3300만원
125,126,몽고메리,21삼,0.21,11,0,0,11,2,5,0,0.0,52.0,33,31,244,46,21.0,
126,127,노성호,21삼,0.21,16,0,0,0,0,2,0,1.0,19.0,10,10,82,10,21.0,5800만원
127,128,함덕주,21L,0.2,16,0,0,3,1,2,0,1.0,21.0,11,10,98,20,21.0,12000만원
128,129,윤명준,21두,0.17,45,0,0,0,1,0,0,1.0,45.2,28,24,208,53,21.0,14000만원
129,130,김지용,21L,0.17,3,0,0,0,0,0,0,0.0,4.0,0,0,16,2,21.0,6000만원
130,131,이태양,21S,0.16,40,0,0,14,5,10,0,4.0,103.2,66,66,456,123,21.0,
131,132,이재희,21삼,0.16,5,0,0,5,0,1,0,0.0,21.2,13,13,95,24,21.0,4000만원
132,133,심창민,21삼,0.16,59,0,0,0,3,2,0,16.0,51.1,32,29,238,47,21.0,28000만원
133,134,이승현,21삼,0.14,41,0,0,0,1,4,0,7.0,39.1,24,23,174,35,21.0,5500만원
134,135,이상민,21삼,0.13,30,0,0,0,1,1,0,3.0,24.2,15,13,110,28,21.0,5500만원
135,136,김진욱,21롯,0.13,39,0,0,5,4,6,0,8.0,45.2,32,32,227,42,21.0,5100만원
136,137,문경찬,21N,0.13,35,0,0,0,0,1,0,4.0,31.0,20,17,142,25,21.0,9000만원
137,138,김태경,21N,0.13,7,0,0,3,0,0,0,0.0,15.0,8,8,63,11,21.0,3300만원
138,139,박건우,21K,0.13,3,0,0,0,0,0,0,0.0,3.0,0,0,11,2,21.0,3100만원
139,140,김대우,21롯,0.12,39,0,0,0,2,2,0,9.0,35.1,22,20,160,32,21.0,6500만원
140,141,김종수,21한,0.11,49,0,0,0,1,1,0,6.0,46.2,29,25,208,34,21.0,
141,142,신재웅,21S,0.11,8,0,0,0,0,0,0,0.0,8.1,4,4,37,6,21.0,
142,143,최승용,21두,0.11,15,0,0,2,0,0,0,2.0,18.1,10,8,83,20,21.0,3500만원
143,144,박주성,21키,0.11,13,0,0,0,0,1,0,0.0,18.1,11,10,89,24,21.0,4000만원
144,145,송명기,21N,0.1,24,0,0,24,8,9,0,0.0,123.1,83,81,574,147,21.0,13000만원
145,146,김도규,21롯,0.1,43,0,0,0,2,1,0,5.0,42.0,28,27,182,41,21.0,5700만원
146,147,지명성,21K,0.09,3,0,0,0,1,0,0,0.0,4.0,1,0,16,1,21.0,3200만원
147,148,한승혁,21K,0.09,8,0,0,5,0,3,0,0.0,23.2,15,12,103,25,21.0,
148,149,전유수,21K,0.09,11,0,0,0,1,0,0,0.0,10.2,6,4,46,9,21.0,8000만원
149,150,박선우,21롯,0.08,1,0,0,0,0,0,0,0.0,2.0,0,0,9,1,21.0,3300만원
150,151,노시훈,21N,0.08,5,0,0,0,0,0,0,0.0,4.2,2,2,22,4,21.0,
151,152,배성근,21롯,0.08,2,0,0,0,0,0,0,0.0,2.0,0,0,9,2,21.0,4200만원
152,153,김주온,21S,0.07,2,0,0,0,0,0,0,0.0,2.0,0,0,10,1,21.0,3000만원
153,154,이재익,21삼,0.07,11,0,0,0,2,0,0,0.0,10.0,6,5,51,11,21.0,3700만원
154,155,정동윤,21S,0.07,1,0,0,0,0,0,0,0.0,2.0,0,0,7,1,21.0,3000만원
155,156,정진호,21한,0.06,3,0,0,0,0,0,0,0.0,1.2,0,0,6,1,21.0,
156,157,박승주,21키,0.06,3,0,0,0,0,0,0,0.0,4.1,2,2,18,3,21.0,3200만원
157,158,이우석,21N,0.06,10,0,0,0,1,0,0,0.0,9.2,6,6,49,13,21.0,3300만원
158,159,문동욱,21한,0.06,1,0,0,0,0,0,0,0.0,1.1,0,0,6,1,21.0,
159,160,최세창,21두,0.05,1,0,0,0,0,0,0,0.0,1.1,0,0,5,1,21.0,
160,161,김범수,21한,0.05,56,0,0,2,4,9,1,9.0,70.2,44,41,319,68,21.0,9680만원
161,162,김태훈,21S,0.05,65,0,0,0,2,4,1,16.0,58.0,35,32,269,55,21.0,15000만원
162,163,신재영,21S,0.05,20,0,0,1,0,0,0,0.0,28.1,18,18,124,35,21.0,4000만원
163,164,김건태,21N,0.05,6,0,0,0,0,0,0,0.0,6.2,4,4,29,2,21.0,5300만원
164,165,김현준,21K,0.05,19,0,0,0,0,1,0,2.0,19.2,13,12,83,15,21.0,3300만원
165,166,박웅,21두,0.05,10,0,0,0,0,0,0,0.0,11.2,7,7,49,12,21.0,
166,167,윤성빈,21롯,0.04,1,0,0,0,0,0,0,0.0,1.0,0,0,5,0,21.0,
167,168,고효준,21L,0.04,3,0,0,0,0,0,0,0.0,2.1,1,1,10,3,21.0,4000만원
168,169,추재현,21롯,0.04,1,0,0,0,0,0,0,0.0,1.0,0,0,4,0,21.0,6400만원
169,170,김도윤,21두,0.04,1,0,0,0,0,0,0,0.0,1.0,0,0,3,0,21.0,3100만원
170,171,조영건,21키,0.04,1,0,0,0,0,0,0,0.0,1.0,0,0,6,1,21.0,3400만원
171,172,김민수,21롯,0.03,1,0,0,0,0,0,0,0.0,1.0,0,0,4,0,21.0,
172,173,김진수,21L,0.03,3,0,0,0,0,0,0,0.0,2.1,1,1,9,2,21.0,
173,174,오윤석,21롯,0.03,1,0,0,0,0,0,0,0.0,0.2,0,0,2,0,21.0,9000만원
174,175,문성현,21키,0.02,4,0,0,0,0,0,0,0.0,3.1,2,2,18,3,21.0,3500만원
175,176,가빌리오,21S,0.02,15,0,0,15,6,4,0,0.0,81.1,54,53,351,88,21.0,
176,177,박진태,21K,0.02,59,0,0,0,3,3,0,9.0,65.0,44,43,305,68,21.0,6000만원
177,178,최민준,21S,0.02,38,0,0,12,3,3,0,4.0,86.0,56,56,398,93,21.0,
178,179,김건우,21S,0.02,6,0,0,4,0,1,0,0.0,11.0,7,6,54,8,21.0,
179,180,강태율,21롯,0.01,1,0,0,0,0,0,0,0.0,0.1,0,0,3,2,21.0,3300만원
180,181,최정용,21K,0.01,1,0,0,0,0,0,0,0.0,0.1,0,0,2,1,21.0,3800만원
181,182,안인산,21N,0.01,7,0,0,0,0,0,0,0.0,6.2,5,4,34,3,21.0,
182,183,양현,21키,0.01,45,0,0,0,1,2,0,5.0,48.0,31,25,225,59,21.0,
183,184,강태경,21N,0.01,3,0,0,3,0,1,0,0.0,12.2,8,8,61,13,21.0,
184,185,강동호,21롯,0.0,1,0,0,0,0,0,0,0.0,1.1,1,1,7,1,21.0,
